citing,cited
0,1439
0,400
0,1347
0,545
0,1493
0,239
0,1501
0,959
0,307
0,527
0,957
0,863
0,1345
0,1171
0,398
0,1
1,400
1,545
1,239
1,1501
1,401
1,1644
1,1221
1,398
1,1688
1,1409
2,1218
2,695
2,909
2,368
2,1228
2,1014
2,851
2,1558
2,1086
2,1050
2,722
2,1104
2,1033
2,1090
2,1398
2,958
2,1153
2,908
2,533
2,1053
2,1204
2,462
2,324
2,1065
2,1073
2,1485
2,838
2,608
2,780
2,1216
2,538
2,726
2,1067
2,1257
2,569
2,1534
3,915
4,1151
4,1082
4,1254
4,619
4,1072
4,1399
4,1133
4,803
4,1166
4,431
4,1132
4,1221
4,744
4,1150
4,1453
4,1517
4,575
4,1067
4,1255
4,940
5,1277
5,369
5,1204
5,1389
6,1033
6,1259
6,1543
7,1072
7,1480
7,961
7,750
7,1006
7,484
7,955
7,1407
7,822
7,682
7,925
7,833
7,1084
7,1032
8,335
8,1050
8,563
8,962
8,958
8,1064
8,636
9,1692
9,801
9,1235
9,818
9,971
9,1103
9,1067
9,459
10,1385
10,1558
10,504
10,910
10,869
10,685
10,1424
10,183
10,729
10,1067
11,1151
11,1427
11,1277
11,368
11,1219
11,1014
11,777
11,1072
11,1385
11,1558
11,504
11,1133
11,803
11,820
11,1020
11,671
11,1387
11,1153
11,921
11,266
11,544
11,265
11,1553
11,1239
11,1126
11,1675
11,976
11,1067
11,1260
11,864
11,1389
11,1646
11,940
12,537
12,481
12,1619
12,843
12,696
12,754
12,787
12,957
12,1424
12,758
12,610
12,1169
13,1258
13,1219
13,683
13,1421
13,922
13,950
13,1559
13,261
13,1381
13,820
13,910
13,954
13,1387
13,1317
13,1052
13,921
13,1553
13,1675
13,1482
13,1067
13,1337
14,1412
14,1339
14,51
14,414
14,440
14,173
14,563
14,362
14,273
14,216
14,1515
14,168
14,997
14,1064
14,934
14,75
14,458
14,192
14,585
14,690
14,332
14,521
14,641
14,1084
14,437
14,1330
15,1492
15,1380
16,86
18,592
18,217
18,1187
18,392
18,388
18,572
18,167
19,593
19,740
19,763
19,891
19,293
20,520
20,593
20,255
20,464
20,758
20,167
21,244
22,131
22,93
22,126
22,445
22,1117
22,98
22,667
22,559
22,593
22,176
22,1150
23,604
23,593
23,327
23,477
23,181
24,520
24,320
24,592
24,392
24,559
24,388
24,19
24,570
24,185
24,167
25,1228
25,785
25,683
25,1182
25,375
25,250
25,910
25,688
25,776
25,1052
25,769
25,630
25,290
25,1524
25,538
25,1553
25,1067
25,609
25,420
25,345
26,1094
26,1516
26,504
26,613
26,1492
26,1236
26,1270
26,1274
26,1524
26,1221
26,594
26,1638
26,1487
26,1420
27,1258
27,304
27,953
27,523
27,355
27,954
27,1545
27,631
27,566
27,1265
27,1067
27,951
28,607
