source,target,weight,type
0,1,0.67962,undirected
0,28,0.556273,undirected
0,29,0.643919,undirected
0,90,0.507006,undirected
0,239,0.58493,undirected
0,371,0.631134,undirected
0,398,0.744162,undirected
0,399,0.515039,undirected
0,400,0.606071,undirected
0,401,0.57829,undirected
0,478,0.547059,undirected
0,545,0.687924,undirected
0,547,0.537612,undirected
0,647,0.557294,undirected
0,1409,0.51347,undirected
0,1644,0.515412,undirected
0,1688,0.615151,undirected
0,1706,0.606995,undirected
0,1747,0.717739,undirected
0,1756,0.605375,undirected
0,1766,0.575441,undirected
0,1767,0.541861,undirected
0,1793,0.623398,undirected
0,1831,0.503326,undirected
0,1874,0.711809,undirected
0,1988,0.501415,undirected
0,2024,0.616675,undirected
1,28,0.680272,undirected
1,29,0.66219,undirected
1,239,0.687092,undirected
1,371,0.724576,undirected
1,398,0.76491,undirected
1,399,0.586756,undirected
1,400,0.738524,undirected
1,401,0.75787,undirected
1,402,0.578528,undirected
1,404,0.853232,undirected
1,478,0.642121,undirected
1,498,0.554421,undirected
1,545,0.805737,undirected
1,547,0.658234,undirected
1,602,0.552318,undirected
1,606,0.585717,undirected
1,647,0.564902,undirected
1,916,0.572176,undirected
1,1263,0.530331,undirected
1,1264,0.506347,undirected
1,1362,0.578502,undirected
1,1385,0.513014,undirected
1,1409,0.619468,undirected
1,1558,0.526931,undirected
1,1644,0.748665,undirected
1,1688,0.849645,undirected
1,1706,0.730546,undirected
1,1756,0.710014,undirected
1,1766,0.611073,undirected
1,1767,0.659674,undirected
1,1793,0.746564,undirected
1,1874,0.758432,undirected
1,1877,0.514532,undirected
1,1916,0.516128,undirected
1,1988,0.576728,undirected
1,2024,0.669397,undirected
1,2078,0.521883,undirected
1,2082,0.500707,undirected
2,105,0.525284,undirected
2,114,0.590024,undirected
2,280,0.534145,undirected
2,324,0.667039,undirected
2,505,0.821973,undirected
2,506,0.657748,undirected
2,533,0.679332,undirected
2,659,0.69034,undirected
2,851,0.667372,undirected
2,1050,0.586655,undirected
2,1128,0.525055,undirected
2,1204,0.718417,undirected
2,1324,0.545874,undirected
2,1398,0.573561,undirected
2,1425,0.575844,undirected
2,1460,0.557646,undirected
2,1473,0.642614,undirected
2,1615,0.600266,undirected
2,1799,0.605069,undirected
2,1848,0.541342,undirected
2,2018,0.798857,undirected
3,50,0.910486,undirected
3,162,0.851055,undirected
3,170,0.800591,undirected
3,204,0.737153,undirected
3,230,0.699832,undirected
3,298,0.937232,undirected
3,346,0.925734,undirected
3,359,0.94089,undirected
3,442,0.531838,undirected
3,466,0.90371,undirected
3,479,0.899835,undirected
3,485,0.934688,undirected
3,543,0.867929,undirected
3,567,0.811786,undirected
3,585,0.586176,undirected
3,596,0.694115,undirected
3,616,0.681473,undirected
3,687,0.79617,undirected
3,826,0.803864,undirected
3,915,0.946898,undirected
3,1031,0.859356,undirected
3,1054,0.920287,undirected
3,1735,0.539513,undirected
3,1868,0.938464,undirected
3,2046,0.885204,undirected
