source,target,weight,type
1,2,0.772336,undirected
1,401,0.633396,undirected
1,407,0.490008,undirected
1,549,0.55078,undirected
1,747,0.505594,undirected
1,865,0.737944,undirected
1,949,0.579129,undirected
1,1107,0.566059,undirected
1,1163,0.575136,undirected
2,30,0.563967,undirected
2,31,0.593463,undirected
2,92,0.520601,undirected
2,241,0.594821,undirected
2,374,0.588274,undirected
2,401,0.82506,undirected
2,402,0.514104,undirected
2,404,0.548821,undirected
2,407,0.721636,undirected
2,481,0.606276,undirected
2,549,0.770903,undirected
2,551,0.525933,undirected
2,769,0.532318,undirected
2,799,0.494244,undirected
2,815,0.628886,undirected
2,822,0.601523,undirected
2,865,0.545524,undirected
2,874,0.62954,undirected
2,884,0.627855,undirected
2,911,0.616312,undirected
2,949,0.607374,undirected
2,992,0.684864,undirected
2,1107,0.568235,undirected
3,116,0.607394,undirected
3,215,0.549993,undirected
3,327,0.585886,undirected
3,509,0.801731,undirected
3,510,0.660232,undirected
3,525,0.513523,undirected
3,591,0.643583,undirected
3,666,0.618067,undirected
3,680,0.506058,undirected
3,1138,0.736612,undirected
4,52,0.874339,undirected
4,164,0.806339,undirected
4,172,0.719489,undirected
4,206,0.710904,undirected
4,232,0.557381,undirected
4,301,0.896356,undirected
4,349,0.898815,undirected
4,362,0.915892,undirected
4,469,0.886306,undirected
4,482,0.839424,undirected
4,488,0.871673,undirected
4,547,0.854418,undirected
4,571,0.77774,undirected
4,601,0.64843,undirected
4,621,0.577428,undirected
4,694,0.759648,undirected
4,775,0.935929,undirected
4,798,0.805237,undirected
4,986,0.896275,undirected
4,1166,0.803171,undirected
4,1208,0.897684,undirected
5,38,0.733007,undirected
5,579,0.629371,undirected
5,792,0.548832,undirected
5,794,0.758797,undirected
5,800,0.823494,undirected
5,919,0.542536,undirected
6,265,0.630081,undirected
6,710,0.636492,undirected
6,780,0.585071,undirected
6,789,0.513789,undirected
6,886,0.663481,undirected
6,1072,0.824113,undirected
7,84,0.535662,undirected
7,107,0.501123,undirected
7,244,0.532957,undirected
7,327,0.496847,undirected
7,761,0.505016,undirected
