source,target,weight,type
1,0,0.154,undirected
8,0,0.267,undirected
9,6,0.354,undirected
11,0,0.143,undirected
11,10,0.378,undirected
12,0,0.267,undirected
12,8,0.5,undirected
12,10,0.707,undirected
12,11,0.267,undirected
14,7,0.236,undirected
17,16,1.0,undirected
18,16,0.577,undirected
18,17,0.577,undirected
19,18,0.289,undirected
20,3,0.707,undirected
21,2,0.354,undirected
22,16,0.408,undirected
22,17,0.408,undirected
22,18,0.236,undirected
22,19,0.204,undirected
22,20,0.289,undirected
23,19,0.25,undirected
23,22,0.204,undirected
29,0,0.436,undirected
29,1,0.471,undirected
35,10,0.408,undirected
35,11,0.154,undirected
35,12,0.289,undirected
35,15,0.408,undirected
36,10,1.0,undirected
36,11,0.378,undirected
36,12,0.707,undirected
36,35,0.408,undirected
37,2,0.204,undirected
41,25,0.5,undirected
43,10,0.577,undirected
43,11,0.218,undirected
43,12,0.408,undirected
43,35,0.236,undirected
43,36,0.577,undirected
47,23,0.289,undirected
48,1,0.408,undirected
49,38,1.0,undirected
51,7,0.258,undirected
51,14,0.548,undirected
53,0,0.267,undirected
53,2,0.25,undirected
53,8,0.5,undirected
53,12,0.5,undirected
54,28,0.707,undirected
55,4,0.408,undirected
55,43,0.408,undirected
56,2,0.158,undirected
56,7,0.258,undirected
56,14,0.548,undirected
56,51,0.2,undirected
65,22,0.236,undirected
65,64,0.333,undirected
66,25,0.408,undirected
66,41,0.408,undirected
67,34,0.707,undirected
68,34,0.5,undirected
68,64,0.577,undirected
68,65,0.289,undirected
68,67,0.354,undirected
69,31,1.0,undirected
70,51,0.258,undirected
72,25,0.5,undirected
72,41,0.5,undirected
72,66,0.408,undirected
72,71,0.707,undirected
73,34,0.577,undirected
73,67,0.408,undirected
73,68,0.289,undirected
74,14,0.204,undirected
74,56,0.224,undirected
75,51,0.365,undirected
75,70,0.236,undirected
78,27,0.707,undirected
80,41,0.408,undirected
81,47,0.408,undirected
86,56,0.183,undirected
87,7,0.258,undirected
87,14,0.183,undirected
87,25,0.316,undirected
87,41,0.316,undirected
87,51,0.2,undirected
87,56,0.2,undirected
87,66,0.258,undirected
87,72,0.316,undirected
91,10,0.447,undirected
91,11,0.169,undirected
91,12,0.316,undirected
91,35,0.183,undirected
91,36,0.447,undirected
91,43,0.516,undirected
91,55,0.316,undirected
94,16,0.707,undirected
94,17,0.707,undirected
94,18,0.408,undirected
94,22,0.289,undirected
94,93,0.316,undirected
97,2,0.354,undirected
97,37,0.577,undirected
98,93,0.447,undirected
100,5,0.25,undirected
100,15,0.354,undirected
100,27,0.25,undirected
100,35,0.144,undirected
105,2,0.177,undirected
106,27,0.707,undirected
106,100,0.354,undirected
107,42,0.333,undirected
107,64,0.192,undirected
107,65,0.192,undirected
107,68,0.167,undirected
107,93,0.149,undirected
