source,target,weight,type
0,1,0.758416,undirected
0,398,0.643513,undirected
0,545,0.570896,undirected
0,629,0.530297,undirected
0,738,0.510194,undirected
0,853,0.727176,undirected
0,937,0.551111,undirected
0,1094,0.642147,undirected
0,1149,0.552494,undirected
1,28,0.538471,undirected
1,29,0.599741,undirected
1,239,0.549118,undirected
1,371,0.602881,undirected
1,398,0.834362,undirected
1,401,0.583069,undirected
1,404,0.679452,undirected
1,478,0.57706,undirected
1,545,0.799791,undirected
1,760,0.500206,undirected
1,805,0.659201,undirected
1,812,0.62468,undirected
1,853,0.533845,undirected
1,862,0.659881,undirected
1,872,0.599234,undirected
1,899,0.716142,undirected
1,937,0.575703,undirected
1,980,0.6674,undirected
1,1094,0.653075,undirected
1,1130,0.505806,undirected
2,105,0.495852,undirected
2,114,0.580708,undirected
2,182,0.502945,undirected
2,213,0.542394,undirected
2,324,0.596395,undirected
2,505,0.758992,undirected
2,506,0.656302,undirected
2,521,0.519372,undirected
2,533,0.495423,undirected
2,587,0.634022,undirected
2,659,0.557739,undirected
2,954,0.53155,undirected
2,1124,0.786652,undirected
3,50,0.875283,undirected
3,162,0.819736,undirected
3,170,0.734661,undirected
3,204,0.704024,undirected
3,230,0.566116,undirected
3,298,0.888737,undirected
3,346,0.883504,undirected
3,359,0.919912,undirected
3,466,0.887695,undirected
3,479,0.810442,undirected
3,485,0.876844,undirected
3,543,0.838943,undirected
3,567,0.723473,undirected
3,596,0.645495,undirected
3,616,0.54901,undirected
3,687,0.764361,undirected
3,766,0.937613,undirected
3,788,0.804715,undirected
3,841,0.500537,undirected
3,974,0.9035,undirected
3,1152,0.774479,undirected
3,1194,0.898645,undirected
4,36,0.741143,undirected
4,575,0.614861,undirected
4,783,0.517443,undirected
4,785,0.757111,undirected
4,790,0.833375,undirected
4,907,0.520625,undirected
5,262,0.634427,undirected
5,702,0.622646,undirected
5,771,0.61907,undirected
5,780,0.544828,undirected
5,874,0.666712,undirected
5,1059,0.823636,undirected
6,242,0.590683,undirected
6,397,0.511156,undirected
6,752,0.562228,undirected
6,1064,0.616527,undirected
7,8,0.648552,undirected
7,97,0.708598,undirected
7,194,0.581074,undirected
7,484,0.857153,undirected
7,573,0.703802,undirected
7,585,0.681577,undirected
7,599,0.728091,undirected
7,654,0.541253,undirected
7,945,0.672614,undirected
7,1066,0.541148,undirected
8,97,0.496889,undirected
8,405,0.497248,undirected
8,436,0.662085,undirected
8,484,0.638517,undirected
8,573,0.534133,undirected
8,585,0.633471,undirected
8,599,0.733106,undirected
9,166,0.539435,undirected
9,395,0.499829,undirected
9,684,0.533929,undirected
9,764,0.510036,undirected
9,834,0.546266,undirected
10,183,0.604218,undirected
10,190,0.544451,undirected
10,504,0.581183,undirected
10,508,0.552393,undirected
10,522,0.506296,undirected
10,560,0.535185,undirected
10,683,0.555367,undirected
10,685,0.77474,undirected
11,221,0.627489,undirected
11,292,0.606398,undirected
11,365,0.764939,undirected
11,568,0.674801,undirected
11,727,0.602232,undirected
11,775,0.658046,undirected
11,777,0.802121,undirected
11,778,0.763537,undirected
11,779,0.597384,undirected
11,782,0.769926,undirected
11,784,0.797185,undirected
11,1125,0.720878,undirected
12,111,0.527708,undirected
12,112,0.49376,undirected
12,190,0.585335,undirected
12,326,0.526786,undirected
12,609,0.585095,undirected
12,712,0.514899,undirected
12,716,0.58611,undirected
12,857,0.569831,undirected
12,1040,0.545895,undirected
12,1042,0.552171,undirected
12,1185,0.498271,undirected
13,59,0.504594,undirected
13,167,0.588371,undirected
13,261,0.502039,undirected
13,538,0.554247,undirected
13,802,0.508383,undirected
13,808,0.59023,undirected
13,1047,0.531159,undirected
13,1162,0.517558,undirected
13,1201,0.559146,undirected
14,51,0.675477,undirected
14,216,0.753942,undirected
14,305,0.670656,undirected
14,500,0.654771,undirected
14,698,0.615271,undirected
14,726,0.550482,undirected
14,770,0.741199,undirected
14,806,0.527447,undirected
14,924,0.679211,undirected
14,962,0.544789,undirected
14,1108,0.730385,undirected
15,145,0.508859,undirected
15,222,0.538897,undirected
15,284,0.5132,undirected
15,303,0.527727,undirected
15,309,0.513147,undirected
15,570,0.502068,undirected
15,871,0.626622,undirected
15,878,0.552641,undirected
15,1036,0.609585,undirected
15,1037,0.537619,undirected
15,1106,0.502799,undirected
16,23,0.515424,undirected
16,54,0.56291,undirected
16,261,0.543109,undirected
16,538,0.588308,undirected
16,577,0.504694,undirected
16,592,0.571488,undirected
16,595,0.604625,undirected
16,842,0.557489,undirected
16,1054,0.703977,undirected
16,1117,0.652421,undirected
16,1205,0.575351,undirected
17,20,0.534469,undirected
17,22,0.642096,undirected
17,126,0.494272,undirected
17,613,0.528095,undirected
17,731,0.664656,undirected
17,773,0.610751,undirected
17,827,0.667709,undirected
17,843,0.515915,undirected
17,892,0.505548,undirected
17,1003,0.557366,undirected
17,1054,0.65923,undirected
17,1096,0.512046,undirected
17,1205,0.495048,undirected
18,33,0.497002,undirected
18,167,0.605085,undirected
18,180,0.521283,undirected
18,206,0.49176,undirected
18,591,0.506818,undirected
18,632,0.492812,undirected
18,847,0.681226,undirected
18,860,0.568079,undirected
18,892,0.4942,undirected
18,940,0.492194,undirected
18,1047,0.728356,undirected
19,22,0.498905,undirected
19,309,0.508107,undirected
19,863,0.493488,undirected
19,920,0.627954,undirected
19,985,0.514781,undirected
19,996,0.507145,undirected
19,1003,0.506698,undirected
19,1037,0.599813,undirected
19,1096,0.572433,undirected
19,1170,0.494511,undirected
19,1205,0.490809,undirected
20,22,0.54757,undirected
20,23,0.520469,undirected
20,132,0.648602,undirected
20,613,0.52125,undirected
20,731,0.567538,undirected
20,773,0.617155,undirected
20,827,0.541687,undirected
20,843,0.506848,undirected
20,847,0.511749,undirected
20,920,0.537968,undirected
20,1003,0.590736,undirected
20,1034,0.542611,undirected
20,1054,0.615818,undirected
20,1096,0.523136,undirected
21,257,0.512671,undirected
21,318,0.629049,undirected
21,395,0.566863,undirected
21,538,0.514237,undirected
21,559,0.497789,undirected
21,592,0.515476,undirected
