,id,TI
0,0,Using Accountability to Reduce Access Policy Violations in Information Systems
1,1,BEYOND DETERRENCE: AN EXPANDED VIEW OF EMPLOYEE COMPUTER ABUSE
2,2,BRIDGING THE QUALITATIVE-QUANTITATIVE DIVIDE: GUIDELINES FOR CONDUCTING MIXED METHODS RESEARCH IN INFORMATION SYSTEMS
3,3,IMPACT OF INFORMATION FEEDBACK IN CONTINUOUS COMBINATORIAL AUCTIONS: AN EXPERIMENTAL STUDY OF ECONOMIC PERFORMANCE
4,4,IT-MEDIATED CUSTOMER SERVICE CONTENT AND DELIVERY IN ELECTRONIC GOVERNMENTS: AN EMPIRICAL INVESTIGATION OF THE ANTECEDENTS OF SERVICE QUALITY
5,5,DIGITAL GAMES AND BEYOND: WHAT HAPPENS WHEN PLAYERS COMPETE?
6,6,DATA MODEL DEVELOPMENT FOR FIRE RELATED EXTREME EVENTS: AN ACTIVITY THEORY APPROACH
7,7,EXAMINING THE RELATIONAL BENEFITS OF IMPROVED INTERFIRM INFORMATION PROCESSING CAPABILITY IN BUYER-SUPPLIER DYADS
8,8,INTERNATIONALIZATION STRATEGIES OF CHINESE IT SERVICE SUPPLIERS
9,9,A RHETORICAL APPROACH TO IT DIFFUSION: RECONCEPTUALIZING THE IDEOLOGY-FRAMING RELATIONSHIP IN COMPUTERIZATION MOVEMENTS
10,10,THE EMBEDDEDNESS OF INFORMATION SYSTEMS HABITS IN ORGANIZATIONAL AND INDIVIDUAL LEVEL ROUTINES: DEVELOPMENT AND DISRUPTION
11,11,THE AFFECTIVE RESPONSE MODEL: A THEORETICAL FRAMEWORK OF AFFECTIVE CONCEPTS AND THEIR RELATIONSHIPS IN THE ICT CONTEXT
12,12,INTERNET PRIVACY CONCERNS: AN INTEGRATED CONCEPTUALIZATION AND FOUR EMPIRICAL STUDIES
13,13,SOCIAL INFLUENCE AND KNOWLEDGE MANAGEMENT SYSTEMS USE: EVIDENCE FROM PANEL DATA
14,14,INFORMATION TECHNOLOGY OUTSOURCING AND NON-IT OPERATING COSTS: AN EMPIRICAL INVESTIGATION
15,15,When Social Media Can Be Bad for You: Community Feedback Stifles Consumer Creativity and Reduces Satisfaction with Self-Designed Products
16,16,Social Network Effects on Productivity and Job Security: Evidence from the Adoption of a Social Networking Tool
17,17,Active Social Media Management: The Case of Health Care
18,18,Social Ties and User Content Generation: Evidence from Flickr
19,19,Social Media Brand Community and Consumer Behavior: Quantifying the Relative Impact of User- and Marketer-Generated Content
20,20,The Effect of Customers' Social Media Participation on Customer Visit Frequency and Profitability: An Empirical Investigation
21,21,Predicting Adoption Probabilities in Social Networks
22,22,Social Media and Firm Equity Value
23,23,Engineering Optimal Network Effects via Social Media Features and Seeding in Markets for Digital Goods and Services
24,24,The Effects of Rewarding User Engagement: The Case of Facebook Apps
25,25,Everybody Needs Somebody: The Influence of Team Network Structure on Information Technology Use
26,26,Toward an Integrated Model of Group Development: Disruption of Routines by Technology-Induced Change
27,27,Corporate Wikis: The Effects of Owners' Motivation and Behavior on Group Members' Engagement
28,28,Information Security Outsourcing with System Interdependency and Mandatory Security Requirement
29,29,Organizations' Information Security Policy Compliance: Stick or Carrot Approach?
30,30,Competitive Target Advertising and Consumer Data Sharing
31,31,Alternate Strategies for a Win-Win Seeking Agent in Agent-Human Negotiations
32,32,Inducing Intrinsic Motivation to Explore the Enterprise System: The Supremacy of Organizational Levers
33,33,Understanding Postadoptive Behaviors in Information Systems Use: A Longitudinal Analysis of System Use Problems in the Business Intelligence Context
34,34,Investigating the Value of Sociomaterialism in Conceptualizing IT Capability of a Firm
35,35,Generalizability of Information Systems Research Using Student Subjects-A Reflection on Our Practices and Recommendations for Future Research
36,36,Advancing Public Trust Relationships in Electronic Government: The Singapore E-Filing Journey
37,37,Adoption and Impacts of Interorganizational Business Process Standards: Role of Partnering Synergy
38,38,"Corporate IT Standardization: Product Compatibility, Exclusive Purchase Commitment, and Competition Effects"
39,39,Synergy and Its Limits in Managing Information Technology Professionals
40,40,User Satisfaction with Information Technology Service Delivery: A Social Capital Perspective
41,41,Ushering Buyers into Electronic Channels: An Empirical Analysis
42,42,What Motivates People to Purchase Digital Items on Virtual Community Websites? The Desire for Online Self-Presentation
43,43,Two Worlds of Trust for Potential E-Commerce Users: Humans as Cognitive Misers
44,44,Real-Time Tactical and Strategic Sales Management for Intelligent Agents Guided by Economic Regimes
45,45,Effects of the Presence of Organic Listing in Search Advertising
46,46,"Network Neutrality and Congestion Sensitive Content Providers: Implications for Content Variety, Broadband Investment, and Regulation"
47,47,Underlying Consumer Heterogeneity in Markets for Subscription-Based IT Services with Network Effects
48,48,"Effects of Individual Self-Protection, Industry Self-Regulation, and Government Regulation on Privacy Concerns: A Study of Location-Based Services"
49,49,Analyzing Pricing Strategies for Online Services with Network Effects
50,50,BIDDING BEHAVIOR EVOLUTION IN SEQUENTIAL AUCTIONS: CHARACTERIZATION AND ANALYSIS
