source,target,p
0,1,0.617635238325
0,8,0.27972027972
0,11,0.675347640865
0,12,0.27972027972
0,29,0.0889799855317
0,53,0.27972027972
0,163,0.407121614018
0,168,0.675347640865
0,225,0.675347640865
0,230,0.130616509927
0,239,0.172092275541
0,245,0.617635238325
0,282,0.675347640865
0,307,0.221284462664
0,332,0.845108914074
0,368,0.845108914074
0,374,0.221284462664
0,382,0.868901213729
0,383,0.675347640865
0,398,0.485411140584
0,400,0.277148139217
0,401,0.462020737883
0,404,0.706856362029
0,471,0.760469415642
0,487,0.560726629692
0,527,0.706856362029
0,545,0.230528092597
0,652,0.617635238325
0,655,0.760469415642
0,664,0.790611687163
0,671,0.836990595611
0,756,0.977493770597
0,758,0.757495378185
0,853,0.0463789084479
0,881,0.130616509927
0,899,0.27972027972
0,967,0.485411140584
0,1013,0.130616509927
0,1026,0.27972027972
0,1055,0.27972027972
0,1056,0.617635238325
0,1094,0.0260429225946
0,1158,0.7391688771
0,1169,0.407121614018
0,1178,0.0247568523431
0,1205,0.706856362029
1,29,0.0750743509364
1,48,0.0927578168957
1,184,0.350293384776
1,221,0.617635238325
1,229,0.570291777188
1,230,0.0927578168957
1,239,0.0453339763685
1,252,0.350293384776
1,281,0.839723494896
1,307,0.570291777188
1,365,0.350293384776
1,371,0.300136644964
1,374,0.570291777188
1,397,0.231171127723
1,398,0.223856603167
1,399,0.0905071939555
1,400,0.230286954425
1,401,0.81239450205
1,404,0.655333172575
1,422,0.504461056185
1,441,0.431556948798
1,487,0.504461056185
1,527,0.655333172575
1,545,0.127722851861
1,547,0.655333172575
1,561,0.81239450205
1,568,0.655333172575
1,644,0.752431476569
1,647,0.431556948798
1,650,0.862310103689
1,666,0.721163893578
1,682,0.988988023471
1,899,0.231171127723
1,1019,0.231171127723
1,1022,0.0927578168957
1,1130,0.350293384776
1,1177,0.231171127723
1,1178,0.350293384776
2,21,0.143557591833
2,37,0.431556948798
2,53,0.322080218632
2,56,0.596254320392
2,97,0.143557591833
2,105,0.535407121614
2,193,0.322080218632
2,194,0.771802909734
2,221,0.706856362029
2,229,0.655333172575
2,232,0.431556948798
2,243,0.655333172575
2,247,0.655333172575
2,248,0.0905071939555
2,249,0.535407121614
2,250,0.596254320392
2,277,0.431556948798
2,281,0.535407121614
2,283,0.655333172575
2,290,0.706856362029
2,299,0.596254320392
2,300,0.535407121614
2,321,0.535407121614
2,329,0.771802909734
2,356,0.771802909734
2,370,0.470701712081
2,371,0.799614178925
2,398,0.893658066072
2,401,0.868901213729
2,404,0.744634675669
2,415,0.535407121614
2,429,0.596254320392
2,462,0.485411140584
2,491,0.856763925729
2,509,0.799614178925
2,533,0.655333172575
2,537,0.868901213729
2,538,0.558556386143
2,545,0.95120970983
2,561,0.868901213729
2,609,0.893658066072
2,613,0.931999035447
2,633,0.799614178925
2,640,0.596254320392
2,662,0.799614178925
2,663,0.8812796399
2,664,0.824049513705
2,667,0.799614178925
2,684,0.143557591833
2,686,0.350293384776
2,688,0.824049513705
2,695,0.431556948798
2,703,0.706856362029
2,706,0.744634675669
2,720,0.596254320392
2,731,0.771802909734
2,756,0.827425448115
2,758,0.974841250703
2,858,0.322080218632
2,1044,0.231171127723
2,1066,0.143557591833
2,1091,0.431556948798
2,1124,0.143557591833
2,1186,0.655333172575
3,20,0.00852021541677
3,170,0.00852021541677
3,359,0.00852021541677
3,436,0.0927578168957
3,442,0.130616509927
3,493,0.173941001527
3,567,0.130616509927
3,638,0.0777268708303
3,841,0.0
3,971,0.00852021541677
3,1101,0.00852021541677
3,1170,0.0777268708303
4,55,0.0927578168957
4,149,0.300136644964
4,200,0.231171127723
4,215,0.0927578168957
4,281,0.655333172575
4,288,0.407121614018
4,289,0.300136644964
4,330,0.300136644964
4,366,0.231171127723
4,427,0.300136644964
4,431,0.593280282935
4,461,0.350293384776
4,463,0.570291777188
4,482,0.771802909734
4,508,0.473997267101
4,514,0.473997267101
4,535,0.407121614018
4,575,0.0927578168957
4,619,0.14098545133
4,665,0.473997267101
4,682,0.959890684029
4,707,0.173941001527
4,708,0.721163893578
4,730,0.593280282935
4,759,0.300136644964
4,1127,0.0267663371112
4,1174,0.173941001527
4,1183,0.0267663371112
4,1199,0.300136644964
5,100,0.322080218632
5,123,0.0506390161563
5,270,0.322080218632
5,434,0.350293384776
5,643,0.197492163009
5,673,0.485411140584
5,1197,0.00852021541677
6,9,0.143557591833
6,264,0.0927578168957
6,369,0.197492163009
6,374,0.231171127723
6,384,0.0506390161563
6,425,0.485411140584
6,483,0.27972027972
6,673,0.485411140584
6,706,0.322080218632
6,955,0.00852021541677
6,956,0.00852021541677
6,957,0.0506390161563
6,1118,0.0506390161563
6,1146,0.197492163009
6,1158,0.350293384776
7,14,0.350293384776
7,51,0.300136644964
7,56,0.300136644964
7,87,0.300136644964
7,149,0.300136644964
7,163,0.173941001527
7,168,0.407121614018
7,192,0.550759585242
7,235,0.0927578168957
7,237,0.00691262760228
7,288,0.407121614018
7,299,0.300136644964
7,332,0.617635238325
7,335,0.407121614018
7,385,0.407121614018
7,436,0.350293384776
7,449,0.231171127723
7,454,0.173941001527
7,470,0.173941001527
7,484,0.640864882244
7,531,0.350293384776
7,540,0.350293384776
7,542,0.0479061168716
7,555,0.231171127723
7,574,0.0927578168957
7,599,0.431556948798
7,670,0.570291777188
7,679,0.350293384776
7,694,0.570291777188
7,729,0.473997267101
7,730,0.593280282935
7,742,0.300136644964
7,750,0.431556948798
7,1115,0.173941001527
7,1142,0.173941001527
7,1160,0.173941001527
7,1174,0.173941001527
7,1176,0.0267663371112
7,1202,0.0267663371112
8,12,0.0506390161563
8,53,0.0506390161563
8,163,0.0927578168957
8,168,0.27972027972
8,225,0.27972027972
8,332,0.485411140584
8,382,0.535407121614
8,383,0.27972027972
8,494,0.231171127723
8,507,0.322080218632
8,512,0.00852021541677
8,513,0.383248934973
8,614,0.0927578168957
8,633,0.383248934973
8,634,0.143557591833
8,636,0.570291777188
8,637,0.27972027972
8,638,0.197492163009
8,652,0.231171127723
8,758,0.787637649707
8,853,0.0506390161563
8,967,0.143557591833
8,1013,0.00852021541677
8,1055,0.0506390161563
8,1094,0.231171127723
8,1169,0.0927578168957
9,264,0.0267663371112
9,374,0.431556948798
9,384,0.143557591833
9,425,0.706856362029
9,459,0.596254320392
9,483,0.130616509927
9,706,0.535407121614
9,885,0.143557591833
9,955,0.0506390161563
9,956,0.0506390161563
9,957,0.143557591833
9,1118,0.143557591833
9,1126,0.322080218632
9,1146,0.383248934973
9,1158,0.570291777188
10,11,0.130616509927
10,12,0.00852021541677
10,35,0.0927578168957
10,36,0.0
10,43,0.0267663371112
10,91,0.0777268708303
10,133,0.0267663371112
10,139,0.0
10,183,0.0267663371112
10,227,0.0
10,228,0.143557591833
10,229,0.0927578168957
10,293,0.0267663371112
10,355,0.00852021541677
10,401,0.27972027972
10,434,0.173941001527
10,537,0.27972027972
10,561,0.27972027972
10,611,0.0267663371112
10,617,0.197492163009
10,1020,0.0
10,1051,0.0
10,1112,0.0
11,12,0.27972027972
11,35,0.617635238325
11,36,0.130616509927
11,43,0.407121614018
11,91,0.560726629692
11,109,0.27972027972
11,122,0.407121614018
11,133,0.407121614018
11,139,0.130616509927
11,183,0.407121614018
11,208,0.790611687163
11,221,0.675347640865
11,222,0.407121614018
11,227,0.130616509927
11,228,0.706856362029
11,229,0.617635238325
11,245,0.617635238325
11,247,0.617635238325
11,255,0.485411140584
11,284,0.485411140584
11,293,0.407121614018
11,307,0.617635238325
11,330,0.560726629692
11,355,0.27972027972
11,368,0.0502371192026
11,369,0.172092275541
11,401,0.845108914074
11,434,0.7391688771
11,464,0.836990595611
11,504,0.899525761595
11,509,0.347882003054
11,518,0.675347640865
11,535,0.675347640865
11,537,0.845108914074
11,544,0.27972027972
11,553,0.617635238325
11,560,0.381560967768
11,561,0.462020737883
11,565,0.81239450205
11,568,0.706856362029
11,593,0.968330520055
11,609,0.868901213729
11,611,0.407121614018
11,617,0.760469415642
11,649,0.859577204405
11,665,0.7391688771
11,671,0.43059239611
11,683,0.944618599791
11,685,0.942207218069
11,708,0.905152318945
11,716,0.905152318945
11,727,0.485411140584
11,739,0.95000401897
11,881,0.130616509927
11,1019,0.27972027972
11,1020,0.130616509927
11,1024,0.27972027972
11,1026,0.27972027972
11,1048,0.485411140584
11,1051,0.130616509927
11,1054,0.485411140584
11,1056,0.617635238325
11,1092,0.27972027972
11,1112,0.130616509927
11,1146,0.560726629692
11,1157,0.130616509927
11,1186,0.617635238325
11,1199,0.560726629692
11,1205,0.27972027972
12,35,0.231171127723
12,36,0.00852021541677
12,43,0.0927578168957
12,53,0.0506390161563
12,91,0.197492163009
12,133,0.0927578168957
12,139,0.00852021541677
12,163,0.0927578168957
12,168,0.27972027972
12,183,0.0927578168957
12,225,0.27972027972
12,227,0.00852021541677
12,228,0.322080218632
12,229,0.231171127723
12,293,0.0927578168957
12,332,0.485411140584
12,355,0.0506390161563
12,382,0.535407121614
12,383,0.27972027972
12,401,0.485411140584
12,434,0.350293384776
12,537,0.485411140584
12,561,0.485411140584
12,611,0.0927578168957
12,617,0.383248934973
12,652,0.231171127723
12,758,0.787637649707
12,853,0.0506390161563
12,967,0.143557591833
12,1013,0.00852021541677
12,1020,0.00852021541677
12,1051,0.00852021541677
12,1055,0.0506390161563
12,1094,0.231171127723
12,1112,0.00852021541677
12,1169,0.0927578168957
14,51,0.0453339763685
14,56,0.0453339763685
14,74,0.431556948798
14,87,0.504461056185
14,118,0.570291777188
14,149,0.504461056185
14,163,0.350293384776
14,168,0.221284462664
14,192,0.0738686600756
14,194,0.693191865606
14,216,0.655333172575
14,237,0.231171127723
14,288,0.617635238325
14,299,0.504461056185
14,332,0.195723816413
14,337,0.617635238325
14,377,0.721163893578
14,382,0.431556948798
14,385,0.617635238325
14,414,0.693191865606
14,455,0.431556948798
14,458,0.81239450205
14,459,0.721163893578
14,470,0.0750743509364
14,521,0.752431476569
14,531,0.570291777188
14,540,0.570291777188
14,542,0.504461056185
14,554,0.231171127723
14,555,0.431556948798
14,563,0.752431476569
14,585,0.617635238325
14,636,0.862310103689
14,641,0.300136644964
14,670,0.771802909734
14,679,0.0506390161563
14,690,0.407121614018
14,692,0.827425448115
14,694,0.350293384776
14,717,0.431556948798
14,729,0.693191865606
14,730,0.171851137368
14,742,0.504461056185
14,750,0.655333172575
14,806,0.0927578168957
14,868,0.0927578168957
14,885,0.231171127723
14,896,0.0927578168957
14,1004,0.0927578168957
14,1029,0.0927578168957
14,1078,0.231171127723
14,1079,0.0750743509364
14,1108,0.350293384776
14,1115,0.350293384776
14,1130,0.350293384776
14,1142,0.0750743509364
14,1165,0.570291777188
14,1167,0.173941001527
14,1173,0.0927578168957
14,1174,0.350293384776
14,1176,0.0927578168957
14,1202,0.0927578168957
15,35,0.0927578168957
15,100,0.143557591833
15,354,0.197492163009
15,472,0.0
15,473,0.0927578168957
15,528,0.0927578168957
16,17,0.0
16,18,0.0267663371112
16,22,0.0927578168957
16,94,0.00852021541677
16,167,0.197492163009
16,174,0.0506390161563
16,217,0.274415239932
16,233,0.173941001527
16,260,0.197492163009
16,292,0.130616509927
16,572,0.173941001527
16,593,0.589502451571
16,636,0.350293384776
16,1047,0.0
16,1054,0.0506390161563
16,1089,0.00852021541677
17,18,0.0267663371112
17,22,0.0927578168957
17,94,0.00852021541677
17,167,0.197492163009
17,174,0.0506390161563
17,217,0.274415239932
17,233,0.173941001527
17,260,0.197492163009
17,292,0.130616509927
17,572,0.173941001527
17,593,0.589502451571
17,636,0.350293384776
17,1047,0.0
17,1054,0.0506390161563
17,1089,0.00852021541677
18,19,0.231171127723
18,22,0.350293384776
18,94,0.0927578168957
18,167,0.504461056185
18,174,0.231171127723
18,217,0.593280282935
18,233,0.473997267101
18,260,0.504461056185
18,292,0.0889799855317
18,335,0.407121614018
18,340,0.350293384776
18,358,0.231171127723
18,367,0.473997267101
18,388,0.173941001527
18,389,0.0927578168957
18,390,0.0927578168957
18,392,0.640864882244
18,459,0.504461056185
18,483,0.407121614018
18,520,0.504461056185
18,572,0.473997267101
18,593,0.874447391689
18,613,0.7391688771
18,636,0.277871553734
18,690,0.617635238325
18,890,0.0927578168957
18,892,0.0267663371112
18,952,0.0267663371112
18,985,0.0927578168957
18,989,0.231171127723
18,999,0.231171127723
18,1003,0.0267663371112
18,1047,0.0267663371112
18,1054,0.231171127723
18,1089,0.0927578168957
18,1099,0.0267663371112
18,1109,0.173941001527
18,1160,0.173941001527
18,1162,0.231171127723
19,22,0.431556948798
19,23,0.322080218632
19,167,0.596254320392
19,185,0.231171127723
19,281,0.744634675669
19,292,0.485411140584
19,320,0.231171127723
19,367,0.570291777188
19,388,0.231171127723
19,392,0.300136644964
19,482,0.839723494896
19,520,0.197492163009
19,559,0.721163893578
19,570,0.502692709589
