source,target,p
0,1,0.0922851919561
0,29,0.707568555759
0,347,0.769360146252
0,371,0.994881170018
0,398,0.156124314442
0,404,0.625009140768
0,545,0.294990859232
0,629,0.771773308958
0,738,0.461206581353
0,776,0.556197440585
0,853,0.101352833638
0,864,0.974625228519
0,872,0.851627056673
0,898,0.839414990859
0,937,0.248482632541
0,980,0.451188299817
0,1094,0.272833638026
0,1149,0.388884826325
1,28,0.312979890311
1,29,0.192906764168
1,90,0.834808043876
1,239,0.2321023766
1,371,0.181425959781
1,398,0.0264716636197
1,399,0.393272394881
1,400,0.82508226691
1,401,0.300621572212
1,404,0.0907495429616
1,478,0.307641681901
1,545,0.0456307129799
1,547,0.47466179159
1,582,0.607458866545
1,606,0.871444241316
1,647,0.964095063985
1,760,0.344351005484
1,789,0.52029250457
1,805,0.157221206581
1,812,0.19407678245
1,853,0.511224862888
1,862,0.169798903108
1,872,0.235685557587
1,873,0.368702010969
1,899,0.116709323583
1,937,0.294844606947
1,942,0.759561243144
1,980,0.125484460695
1,983,0.957586837294
1,1022,0.922120658135
1,1094,0.239341864717
1,1130,0.435539305302
2,57,0.923363802559
2,62,0.741864716636
2,104,0.623692870201
2,105,0.898427787934
2,114,0.226691042048
2,213,0.337989031079
2,324,0.35831809872
2,325,0.834954296161
2,413,0.846069469835
2,505,0.0609140767824
2,506,0.164095063985
2,521,0.604314442413
2,533,0.812358318099
2,586,0.420548446069
2,587,0.121023765996
2,625,0.717586837294
2,659,0.231882998172
2,673,0.623546617916
2,767,0.921316270567
2,844,0.898939670932
2,853,0.745009140768
2,875,0.63466179159
2,905,0.928482632541
2,954,0.416234003656
2,984,0.873930530165
2,1124,0.0691042047532
3,50,0.0172577696527
3,85,0.958098720293
3,162,0.0410968921389
3,170,0.105594149909
3,204,0.100694698355
3,230,0.249506398537
3,298,0.00797074954296
3,346,0.0126508226691
3,359,0.00497257769653
3,442,0.63268738574
3,466,0.011773308958
3,479,0.0248628884826
3,485,0.0121389396709
3,543,0.018647166362
3,567,0.0506032906764
3,574,0.809213893967
3,596,0.18310786106
3,616,0.231736745887
3,687,0.057915904936
3,766,0.00343692870201
3,788,0.0391224862888
3,841,0.9960511883
3,974,0.0109689213894
3,1152,0.0461425959781
3,1194,0.00672760511883
4,36,0.0790493601463
4,40,0.944277879342
4,575,0.197221206581
4,619,0.435100548446
4,783,0.35802559415
4,785,0.0723217550274
4,790,0.0280073126143
4,907,0.366654478976
4,1156,0.698208409506
5,82,0.488994515539
5,262,0.219305301645
5,384,0.839341864717
5,607,0.679488117002
5,702,0.19071297989
5,771,0.279780621572
5,780,0.347861060329
5,874,0.152833638026
5,1059,0.0329067641682
5,1204,0.604168190128
6,37,0.553345521024
6,82,0.390054844607
6,105,0.728336380256
6,148,0.730822669104
6,235,0.526361974406
6,242,0.396782449726
6,324,0.792541133455
6,397,0.558756855576
6,453,0.887751371115
6,752,0.378135283364
6,815,0.649213893967
6,1064,0.168921389397
6,1124,0.827568555759
7,8,0.17886654479
7,41,0.500694698355
7,97,0.0892870201097
7,162,0.699744058501
7,194,0.295941499086
7,235,0.716782449726
7,436,0.488190127971
7,484,0.0185009140768
7,542,0.508592321755
7,573,0.122413162706
7,585,0.128117001828
7,599,0.0902376599634
7,654,0.37915904936
7,670,0.640950639854
7,691,0.537989031079
7,750,0.824716636197
7,813,0.806215722121
7,945,0.161389396709
7,1051,0.746106032907
7,1066,0.385447897623
7,1138,0.723144424132
7,1183,0.958464351005
8,97,0.397074954296
8,162,0.651480804388
8,405,0.590493601463
8,436,0.15831809872
8,484,0.147787934186
8,501,0.707714808044
8,573,0.551736745887
8,585,0.182449725777
8,599,0.0925776965265
8,654,0.779378427788
8,742,0.759268738574
8,813,0.738208409506
8,945,0.54449725777
8,1066,0.71773308958
8,1151,0.824862888483
9,53,0.695941499086
9,130,0.872906764168
9,166,0.356709323583
9,360,0.688848263254
9,395,0.6039488117
9,477,0.573162705667
9,480,0.773747714808
9,533,0.95970749543
9,684,0.483583180987
9,764,0.387202925046
9,834,0.422157221207
9,884,0.524680073126
9,954,0.903765996344
9,1023,0.852650822669
10,183,0.166946983547
10,190,0.365411334552
10,258,0.974259597806
10,504,0.247239488117
