id,label,timeset,py,so,modularity_class,clustering,triangles,degree
760,"Perceived information quality in data exchanges: Effects on risk, trust, and intention to use",,2006,INFORMATION SYSTEMS RESEARCH,0,0.0,0,0
761,Understanding the impact of collaboration software on product design and development,,2006,INFORMATION SYSTEMS RESEARCH,14,0.5,3,4
762,Formulating the data-flow perspective for business process management,,2006,INFORMATION SYSTEMS RESEARCH,23,0.42857142857142855,39,14
763,"The nature and role of feedback text comments in online marketplaces: implications for trust building, price premiums, and seller differentiation",,2006,INFORMATION SYSTEMS RESEARCH,11,0.6060606060606061,40,12
764,Individual cognition and dual-task interference in group support systems,,2006,INFORMATION SYSTEMS RESEARCH,25,0.7052631578947368,134,20
765,The influence of recommendations and consumer reviews on evaluations of websites,,2006,INFORMATION SYSTEMS RESEARCH,1,0.38769230769230767,126,0
766,Enabling customer-centricity using wikis and the wiki way,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,20,0.7575757575757576,50,12
767,Personalized content recommendation and user satisfaction: Theoretical synthesis and empirical findings,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,16,0.5,18,9
768,Online consumer search depth: Theories and new findings,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,20,0.2,3,6
769,Designing web sites for customer loyalty across business domains: A multilevel analysis,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,20,0.6083333333333333,73,16
770,"Strategic alignment between business and information technology: A knowledge-based view of behaviors, outcome, and consequences",,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,30,0.5277777777777778,19,9
771,Using enterprise architecture standards in managing information technology,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,13,0.9111111111111111,41,10
772,Efficacy in technology-mediated distributed teams,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,19,0.7878787878787878,52,12
773,Conflict and performance in global virtual teams,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,19,0.39285714285714285,11,8
774,Optimal strategies for a monopoly intermediary in the supply chain of complementary web services,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,11,0.3333333333333333,1,3
775,A knowledge management success model: Theoretical development and empirical validation,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2,0.6578947368421053,125,20
776,Reconceptualizing compatibility beliefs in technology acceptance research,,2006,MIS QUARTERLY,21,0.6190476190476191,65,15
777,Influence processes for information technology acceptance: An elaboration likelihood model,,2006,MIS QUARTERLY,21,0.5424836601307189,83,18
778,Real options in information technology risk management: An empirical validation of risk-option relationships,,2006,MIS QUARTERLY,9,0.5333333333333333,24,10
779,Understanding the impact of web personalization on user information processing and decision outcomes,,2006,MIS QUARTERLY,4,0.13333333333333333,2,6
780,Aligning software processes with strategy,,2006,MIS QUARTERLY,30,0.6666666666666666,4,4
781,Knowledge integration and information technology project performance,,2006,MIS QUARTERLY,9,0.5421052631578948,103,20
782,The effects of personalization and familiarity on trust and adoption of recommendation agents,,2006,MIS QUARTERLY,11,1.0,45,10
783,"So, talk to me: The effect of explicit goals on the comprehension of business process narratives",,2006,MIS QUARTERLY,29,0.29523809523809524,62,21
784,From IT leveraging competence to competitive advantage in turbulent environments: The case of new product development,,2006,INFORMATION SYSTEMS RESEARCH,14,0.09523809523809523,2,7
785,Reconceptualizing system usage: An approach and empirical test,,2006,INFORMATION SYSTEMS RESEARCH,21,0.4722222222222222,17,9
786,On the optimality of fixed-up-to tariff for telecommunications service,,2006,INFORMATION SYSTEMS RESEARCH,18,0.6666666666666666,2,3
787,Privacy protection in data mining: A perturbation approach for categorical data,,2006,INFORMATION SYSTEMS RESEARCH,4,1.0,10,5
788,Research note - How often should reputation mechanisms update a trader's reputation profile?,,2006,INFORMATION SYSTEMS RESEARCH,11,0.5714285714285714,12,7
789,The effects of trust-assuring arguments on consumer trust in Internet stores: Application of Toulmin's model of argumentation,,2006,INFORMATION SYSTEMS RESEARCH,11,1.0,15,6
790,The effectiveness of knowledge transfer portfolios in software process improvement: A field study,,2006,INFORMATION SYSTEMS RESEARCH,2,0.8553846153846154,278,26
791,"Information technology, production process outsourcing, and manufacturing plant performance",,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,9,1.0,28,8
792,A virtual integration theory of improved supply-chain performance,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,13,1.0,6,4
793,"Systems design, process performance, and economic outcomes in international banking",,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,14,0.2222222222222222,8,9
794,"Network effects and technology licensing with fixed fee, royalty, and hybrid contracts",,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,21,0.25,9,1
795,Analyzing complementarities using software stacks for software industry acquisitions,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,18,0.6666666666666666,24,9
796,When online reviews meet hyperdifferentiation: A study of the craft beer industry,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,14,0.6071428571428571,17,8
797,Accommodating individual preferences in the categorization of documents: A personalized clustering approach,,2006,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,31,0.8571428571428571,18,7
