source,target,weight,type
0,1,0.165,undirected
0,29,0.151,undirected
0,239,0.118,undirected
0,398,0.286,undirected
0,400,0.109,undirected
0,815,0.115,undirected
0,853,0.544,undirected
0,862,0.184,undirected
0,872,0.175,undirected
0,873,0.172,undirected
0,980,0.184,undirected
0,1178,0.226,undirected
1,29,0.225,undirected
1,239,0.201,undirected
1,301,0.159,undirected
1,398,0.234,undirected
1,400,0.258,undirected
1,404,0.221,undirected
1,545,0.198,undirected
1,547,0.147,undirected
1,652,0.156,undirected
1,812,0.165,undirected
1,815,0.114,undirected
1,849,0.181,undirected
1,853,0.133,undirected
1,862,0.278,undirected
1,872,0.313,undirected
1,898,0.251,undirected
1,899,0.23,undirected
1,923,0.118,undirected
1,980,0.291,undirected
1,1094,0.269,undirected
1,1188,0.108,undirected
2,35,0.104,undirected
2,102,0.137,undirected
2,103,0.139,undirected
2,105,0.196,undirected
2,156,0.104,undirected
2,172,0.116,undirected
2,247,0.105,undirected
2,462,0.129,undirected
2,533,0.194,undirected
2,772,0.117,undirected
2,1062,0.115,undirected
2,1072,0.131,undirected
2,1091,0.13,undirected
2,1124,0.235,undirected
3,85,0.211,undirected
3,162,0.321,undirected
3,298,0.255,undirected
3,327,0.168,undirected
3,436,0.115,undirected
3,466,0.265,undirected
3,543,0.27,undirected
3,766,0.503,undirected
3,1152,0.216,undirected
3,1194,0.221,undirected
4,11,0.125,undirected
4,36,0.209,undirected
4,113,0.11,undirected
4,122,0.104,undirected
4,183,0.109,undirected
4,188,0.111,undirected
4,200,0.202,undirected
4,207,0.104,undirected
4,215,0.141,undirected
4,265,0.105,undirected
4,280,0.101,undirected
4,281,0.106,undirected
4,282,0.126,undirected
4,284,0.115,undirected
4,372,0.122,undirected
4,400,0.147,undirected
4,482,0.213,undirected
4,509,0.136,undirected
4,518,0.134,undirected
4,560,0.143,undirected
4,565,0.121,undirected
4,575,0.151,undirected
4,609,0.116,undirected
4,619,0.333,undirected
4,649,0.112,undirected
4,650,0.157,undirected
4,655,0.112,undirected
4,661,0.101,undirected
4,666,0.159,undirected
4,682,0.182,undirected
4,709,0.121,undirected
4,716,0.13,undirected
4,790,0.121,undirected
4,797,0.393,undirected
4,815,0.115,undirected
4,857,0.12,undirected
4,963,0.107,undirected
4,1020,0.11,undirected
4,1051,0.148,undirected
4,1072,0.127,undirected
4,1087,0.108,undirected
4,1120,0.273,undirected
4,1148,0.107,undirected
4,1185,0.124,undirected
5,11,0.18,undirected
5,266,0.116,undirected
5,368,0.163,undirected
5,631,0.178,undirected
5,771,0.198,undirected
5,921,0.114,undirected
5,1039,0.114,undirected
5,1147,0.103,undirected
6,31,0.129,undirected
6,57,0.12,undirected
6,58,0.105,undirected
6,60,0.205,undirected
6,62,0.135,undirected
6,82,0.141,undirected
6,140,0.183,undirected
6,148,0.224,undirected
6,156,0.141,undirected
6,172,0.158,undirected
6,224,0.141,undirected
6,263,0.169,undirected
6,325,0.143,undirected
6,350,0.135,undirected
6,351,0.239,undirected
6,415,0.108,undirected
6,419,0.103,undirected
6,425,0.126,undirected
6,466,0.129,undirected
6,532,0.115,undirected
6,587,0.169,undirected
6,590,0.135,undirected
6,606,0.135,undirected
6,642,0.183,undirected
6,673,0.124,undirected
6,710,0.258,undirected
6,737,0.149,undirected
6,780,0.141,undirected
6,875,0.105,undirected
6,912,0.103,undirected
