source,target,weight,type
0,1,0.0384615384615,undirected
0,29,0.0183823529412,undirected
0,239,0.0227272727273,undirected
0,398,0.03367003367,undirected
0,404,0.015625,undirected
0,545,0.020202020202,undirected
0,1709,0.0138888888889,undirected
0,1747,0.0318302387268,undirected
0,1756,0.0257352941176,undirected
0,1766,0.0212201591512,undirected
0,1767,0.0227272727273,undirected
0,1792,0.0230769230769,undirected
0,1793,0.0107142857143,undirected
0,1836,0.0172043010753,undirected
0,1874,0.0183823529412,undirected
0,1988,0.0104166666667,undirected
0,2072,0.0183823529412,undirected
0,2082,0.0113636363636,undirected
1,29,0.0428571428571,undirected
1,239,0.0444444444444,undirected
1,398,0.0380952380952,undirected
1,400,0.046783625731,undirected
1,404,0.0307692307692,undirected
1,545,0.0285714285714,undirected
1,547,0.046783625731,undirected
1,561,0.0214285714286,undirected
1,1409,0.0504201680672,undirected
1,1706,0.0285714285714,undirected
1,1709,0.02,undirected
1,1743,0.03,undirected
1,1747,0.0260869565217,undirected
1,1756,0.0428571428571,undirected
1,1766,0.0521739130435,undirected
1,1767,0.0222222222222,undirected
1,1792,0.05,undirected
1,1793,0.0413793103448,undirected
1,1817,0.0416666666667,undirected
1,1836,0.024,undirected
1,1874,0.0285714285714,undirected
1,1988,0.0333333333333,undirected
1,2024,0.0206896551724,undirected
1,2072,0.0285714285714,undirected
2,11,0.00439174352218,undirected
2,25,0.00535714285714,undirected
2,29,0.00617283950617,undirected
2,32,0.00496277915633,undirected
2,33,0.00961538461538,undirected
2,77,0.00501253132832,undirected
2,105,0.0296296296296,undirected
2,135,0.0116054158607,undirected
2,147,0.00380517503805,undirected
2,182,0.0078431372549,undirected
2,203,0.00655737704918,undirected
2,215,0.0104575163399,undirected
2,230,0.00574162679426,undirected
2,231,0.00535714285714,undirected
2,247,0.00887902330744,undirected
2,248,0.0199335548173,undirected
2,249,0.0199335548173,undirected
2,292,0.0104166666667,undirected
2,301,0.00857142857143,undirected
2,351,0.0199335548173,undirected
2,368,0.0120192307692,undirected
2,372,0.00574162679426,undirected
2,391,0.00620347394541,undirected
2,407,0.00470219435737,undirected
2,425,0.00574162679426,undirected
2,428,0.0078431372549,undirected
2,456,0.00765550239234,undirected
2,461,0.00402414486922,undirected
2,462,0.00721153846154,undirected
2,509,0.00535714285714,undirected
2,510,0.0116054158607,undirected
2,533,0.0133185349612,undirected
2,540,0.00470219435737,undirected
2,561,0.0102880658436,undirected
2,619,0.0094191522763,undirected
2,639,0.0197530864198,undirected
2,665,0.00721153846154,undirected
2,666,0.0104166666667,undirected
2,671,0.0170454545455,undirected
2,682,0.0037037037037,undirected
2,686,0.0199335548173,undirected
2,716,0.00617283950617,undirected
2,759,0.0078431372549,undirected
2,772,0.00470219435737,undirected
2,785,0.00665926748058,undirected
2,803,0.0123456790123,undirected
2,822,0.00721153846154,undirected
2,864,0.0114285714286,undirected
2,873,0.0094191522763,undirected
2,876,0.00857142857143,undirected
2,906,0.0116054158607,undirected
2,910,0.00288878189697,undirected
2,1030,0.0078431372549,undirected
2,1726,0.0130434782609,undirected
2,1748,0.00617283950617,undirected
2,1752,0.00385802469136,undirected
2,1763,0.00721153846154,undirected
2,1791,0.00336134453782,undirected
2,1832,0.0030303030303,undirected
2,1880,0.00835421888053,undirected
2,1885,0.0170454545455,undirected
2,1913,0.00318302387268,undirected
2,1923,0.00665926748058,undirected
2,1938,0.00783699059561,undirected
2,1956,0.00668337510443,undirected
2,1966,0.00420168067227,undirected
2,1981,0.00393442622951,undirected
2,1983,0.0148148148148,undirected
2,1985,0.00736919675755,undirected
2,1987,0.00668337510443,undirected
2,1989,0.00617283950617,undirected
2,1992,0.00535714285714,undirected
2,2005,0.0148148148148,undirected
2,2018,0.0217391304348,undirected
2,2041,0.00385170919596,undirected
2,2079,0.00961538461538,undirected
2,2082,0.00665926748058,undirected
4,11,0.011320754717,undirected
4,183,0.00877192982456,undirected
4,200,0.0075,undirected
4,203,0.00666666666667,undirected
4,215,0.0152380952381,undirected
4,241,0.0116959064327,undirected
4,258,0.00681818181818,undirected
4,290,0.00666666666667,undirected
4,325,0.0114285714286,undirected
4,369,0.0625,undirected
4,372,0.0134952766532,undirected
4,391,0.00869565217391,undirected
4,462,0.0104166666667,undirected
4,487,0.015625,undirected
4,488,0.0267857142857,undirected
4,509,0.0125,undirected
4,522,0.0075,undirected
4,527,0.00877192982456,undirected
4,560,0.0158982511924,undirected
4,575,0.00877192982456,undirected
4,609,0.00953895071542,undirected
4,619,0.02331002331,undirected
4,649,0.0267857142857,undirected
4,650,0.0134952766532,undirected
4,656,0.0152380952381,undirected
4,666,0.0260416666667,undirected
4,671,0.0357142857143,undirected
4,682,0.00677966101695,undirected
4,708,0.02,undirected
4,709,0.042328042328,undirected
4,712,0.00588235294118,undirected
4,716,0.00877192982456,undirected
4,729,0.0114285714286,undirected
4,758,0.0104166666667,undirected
4,759,0.0152380952381,undirected
4,760,0.0080971659919,undirected
4,769,0.018648018648,undirected
4,785,0.0127186009539,undirected
4,803,0.00877192982456,undirected
4,832,0.00909090909091,undirected
4,843,0.0114285714286,undirected
4,861,0.015625,undirected
4,864,0.0252100840336,undirected
4,865,0.031746031746,undirected
4,906,0.0175953079179,undirected
4,920,0.00689655172414,undirected
4,940,0.0234604105572,undirected
4,948,0.0168067226891,undirected
4,964,0.0229885057471,undirected
4,1093,0.0138888888889,undirected
4,1104,0.02,undirected
4,1128,0.0146198830409,undirected
4,1744,0.00888888888889,undirected
4,1751,0.005,undirected
4,1774,0.0114285714286,undirected
4,1823,0.015625,undirected
4,1824,0.00851063829787,undirected
4,1893,0.0175953079179,undirected
4,1913,0.00816326530612,undirected
4,1966,0.0148148148148,undirected
4,2014,0.0148936170213,undirected
4,2040,0.00952380952381,undirected
4,2042,0.00731707317073,undirected
4,2063,0.00461538461538,undirected
4,2093,0.0046875,undirected
5,2041,0.0428571428571,undirected
7,37,0.025974025974,undirected
7,40,0.0107142857143,undirected
7,70,0.011583011583,undirected
7,73,0.0121580547112,undirected
7,154,0.0102040816327,undirected
7,163,0.0163265306122,undirected
7,194,0.01393728223,undirected
7,202,0.0174216027875,undirected
7,288,0.0119047619048,undirected
7,385,0.030888030888,undirected
7,386,0.0218181818182,undirected
7,484,0.02849002849,undirected
7,542,0.0147783251232,undirected
7,565,0.117647058824,undirected
7,585,0.0147783251232,undirected
7,682,0.00808625336927,undirected
7,691,0.0320512820513,undirected
7,694,0.0223214285714,undirected
7,695,0.0246305418719,undirected
7,784,0.0192307692308,undirected
7,791,0.012987012987,undirected
7,792,0.0408163265306,undirected
7,822,0.0238095238095,undirected
7,833,0.0290909090909,undirected
7,837,0.012987012987,undirected
7,1707,0.0112781954887,undirected
7,1762,0.015306122449,undirected
7,1790,0.0126984126984,undirected
7,1800,0.0218181818182,undirected
7,1857,0.0122448979592,undirected
7,1873,0.0168067226891,undirected
7,1958,0.0170068027211,undirected
7,1960,0.025974025974,undirected
7,1964,0.0187969924812,undirected
7,2010,0.0112781954887,undirected
7,2050,0.014652014652,undirected
7,2063,0.00968523002421,undirected
7,2077,0.011583011583,undirected
7,2081,0.0218181818182,undirected
8,118,0.032967032967,undirected
8,1761,0.0504201680672,undirected
8,1781,0.0342857142857,undirected
9,453,0.0357142857143,undirected
9,459,0.0416666666667,undirected
9,1791,0.0178571428571,undirected
9,1907,0.0258620689655,undirected
9,1943,0.047619047619,undirected
10,11,0.0186046511628,undirected
