,source,target,old_weight,type,source_target,weight_lsi_bib,weight
0,0,1,0.739205173331,undirected,0_1,0.739205173331,0.828776265938
1,0,28,0.291777514018,undirected,0_28,0.291777514018,0.291777514018
2,0,29,0.65845373061,undirected,0_29,0.65845373061,0.65845373061
3,0,90,0.105308394385,undirected,0_90,0.105308394385,0.105308394385
4,0,239,0.469528915811,undirected,0_239,0.469528915811,0.532452839822
5,0,371,0.583882454058,undirected,0_371,0.583882454058,0.583882454058
6,0,398,0.838210616789,undirected,0_398,0.838210616789,0.838210616789
7,0,399,0.314042483526,undirected,0_399,0.314042483526,0.314042483526
8,0,400,0.622968935456,undirected,0_400,0.622968935456,0.622968935456
9,0,401,0.344984242623,undirected,0_401,0.344984242623,0.344984242623
11,0,404,0.394752997995,undirected,0_404,0.394752997995,0.394752997995
12,0,478,0.326730241886,undirected,0_478,0.326730241886,0.326730241886
13,0,545,0.725698849916,undirected,0_545,0.725698849916,0.725698849916
14,0,547,0.269021405476,undirected,0_547,0.269021405476,0.269021405476
15,0,647,0.348463144108,undirected,0_647,0.348463144108,0.348463144108
18,0,1644,0.212172062375,undirected,0_1644,0.212172062375,0.212172062375
19,0,1688,0.547947448123,undirected,0_1688,0.547947448123,0.547947448123
20,0,1706,0.528383743298,undirected,0_1706,0.528383743298,0.528383743298
21,0,1709,0.347317153031,undirected,0_1709,0.347317153031,0.347317153031
22,0,1747,0.747349895633,undirected,0_1747,0.997737556561,0.997737556561
23,0,1756,0.486841566734,undirected,0_1756,0.486841566734,0.624244487464
24,0,1766,0.452420906152,undirected,0_1766,0.452420906152,0.474175755871
25,0,1767,0.255310440797,undirected,0_1767,0.255310440797,0.532452839822
26,0,1793,0.560553349977,undirected,0_1793,0.560553349977,0.560553349977
27,0,1831,0.226537879098,undirected,0_1831,0.226537879098,0.226537879098
28,0,1874,0.801497974051,undirected,0_1874,0.801497974051,0.801497974051
29,0,1916,0.110915565015,undirected,0_1916,0.110915565015,0.110915565015
30,0,1988,0.0757991241354,undirected,0_1988,0.0757991241354,0.0757991241354
31,0,2024,0.680841484877,undirected,0_2024,0.680841484877,0.680841484877
32,0,2082,0.152948880612,undirected,0_2082,0.152948880612,0.152948880612
33,1,28,0.671837269267,undirected,1_28,0.671837269267,0.671837269267
34,1,29,0.699791265911,undirected,1_29,0.699791265911,0.86804370225
35,1,239,0.710023329104,undirected,1_239,0.710023329104,0.880457772632
36,1,371,0.758482380387,undirected,1_371,0.758482380387,0.758482380387
37,1,398,0.84058445545,undirected,1_398,0.84058445545,0.84058445545
38,1,399,0.413702779028,undirected,1_399,0.413702779028,0.413702779028
39,1,400,0.831048172554,undirected,1_400,0.831048172554,0.890087349075
40,1,401,0.806081938362,undirected,1_401,0.806081938362,0.806081938362
41,1,402,0.437318380878,undirected,1_402,0.437318380878,0.437318380878
42,1,404,0.963451070274,undirected,1_404,0.963451070274,0.963451070274
43,1,478,0.582449965211,undirected,1_478,0.582449965211,0.582449965211
44,1,498,0.23926656571,undirected,1_498,0.23926656571,0.23926656571
45,1,545,0.909630417877,undirected,1_545,0.909630417877,0.909630417877
46,1,547,0.69033683952,undirected,1_547,0.69033683952,0.890087349075
47,1,602,0.26656571031,undirected,1_602,0.26656571031,0.26656571031
48,1,606,0.449801497974,undirected,1_606,0.449801497974,0.449801497974
49,1,647,0.280767814022,undirected,1_647,0.280767814022,0.280767814022
50,1,916,0.433430196865,undirected,1_916,0.433430196865,0.433430196865
54,1,1362,0.453976179757,undirected,1_1362,0.453976179757,0.453976179757
56,1,1409,0.542708631769,undirected,1_1409,0.542708631769,0.911789927359
57,1,1558,0.292759792084,undirected,1_1558,0.292759792084,0.292759792084
58,1,1644,0.837146482217,undirected,1_1644,0.837146482217,0.837146482217
59,1,1688,0.954528711169,undirected,1_1688,0.954528711169,0.954528711169
60,1,1706,0.781770556215,undirected,1_1706,0.781770556215,0.781770556215
61,1,1756,0.717717840625,undirected,1_1756,0.717717840625,0.86804370225
62,1,1766,0.496459706135,undirected,1_1766,0.496459706135,0.915208862848
63,1,1767,0.638726312774,undirected,1_1767,0.638726312774,0.638726312774
64,1,1793,0.801784471821,undirected,1_1793,0.801784471821,0.853531100582
66,1,1874,0.856055334998,undirected,1_1874,0.856055334998,0.856055334998
67,1,1916,0.183931567961,undirected,1_1916,0.183931567961,0.183931567961
68,1,1988,0.41800024557,undirected,1_1988,0.41800024557,0.775010730066
69,1,2024,0.70110097,undirected,1_2024,0.70110097,0.70110097
70,1,2078,0.150615970204,undirected,1_2078,0.150615970204,0.150615970204
71,1,2082,0.0464535668972,undirected,1_2082,0.0464535668972,0.0464535668972
72,2,105,0.0521835222854,undirected,2_105,0.297946397494,0.708671633729
73,2,114,0.49830147751,undirected,2_114,0.49830147751,0.49830147751
74,2,324,0.673106045103,undirected,2_324,0.673106045103,0.673106045103
