source,target,weight,type
0,1,0.705892,undirected
0,28,0.526987,undirected
0,29,0.594682,undirected
0,90,0.518258,undirected
0,184,0.517854,undirected
0,239,0.558498,undirected
0,371,0.581336,undirected
0,398,0.707662,undirected
0,399,0.537338,undirected
0,401,0.519778,undirected
0,404,0.586468,undirected
0,478,0.576332,undirected
0,545,0.694573,undirected
0,547,0.528605,undirected
0,647,0.5372,undirected
0,738,0.510643,undirected
0,1688,0.606611,undirected
0,1706,0.584754,undirected
0,1747,0.55048,undirected
0,1756,0.564501,undirected
0,1766,0.532869,undirected
0,1767,0.527846,undirected
0,1793,0.591583,undirected
0,1831,0.590604,undirected
0,1874,0.604938,undirected
0,1988,0.564587,undirected
0,2024,0.590949,undirected
1,28,0.684841,undirected
1,29,0.627808,undirected
1,90,0.529923,undirected
1,239,0.657776,undirected
1,371,0.722604,undirected
1,398,0.781601,undirected
1,399,0.611536,undirected
1,400,0.590987,undirected
1,401,0.721299,undirected
1,402,0.571698,undirected
1,404,0.826399,undirected
1,478,0.666367,undirected
1,545,0.820759,undirected
1,547,0.626525,undirected
1,606,0.529979,undirected
1,647,0.547467,undirected
1,916,0.610597,undirected
1,1264,0.507681,undirected
1,1362,0.534417,undirected
1,1385,0.523432,undirected
1,1409,0.54889,undirected
1,1439,0.545207,undirected
1,1558,0.531107,undirected
1,1644,0.581452,undirected
1,1688,0.799009,undirected
1,1706,0.700569,undirected
1,1756,0.701836,undirected
1,1766,0.663141,undirected
1,1767,0.628756,undirected
1,1793,0.762559,undirected
1,1831,0.584978,undirected
1,1874,0.719716,undirected
1,1877,0.560305,undirected
1,1916,0.566837,undirected
1,1988,0.561482,undirected
1,2024,0.689233,undirected
1,2078,0.527032,undirected
2,114,0.587607,undirected
2,213,0.536734,undirected
2,324,0.61674,undirected
2,325,0.506369,undirected
2,505,0.814618,undirected
2,506,0.638216,undirected
2,586,0.514924,undirected
2,587,0.641399,undirected
2,659,0.661493,undirected
2,851,0.699129,undirected
2,1128,0.51975,undirected
2,1204,0.573705,undirected
2,1342,0.647455,undirected
2,1425,0.622389,undirected
2,1473,0.53954,undirected
2,1615,0.770149,undirected
2,1747,0.557427,undirected
2,1848,0.531119,undirected
2,1885,0.503881,undirected
2,2018,0.71385,undirected
3,50,0.903772,undirected
3,162,0.808359,undirected
3,170,0.812266,undirected
3,204,0.726725,undirected
3,230,0.606949,undirected
3,298,0.92985,undirected
3,346,0.930471,undirected
3,359,0.941776,undirected
3,466,0.927717,undirected
3,479,0.867372,undirected
3,485,0.924291,undirected
3,543,0.874139,undirected
3,567,0.799751,undirected
3,574,0.519327,undirected
3,596,0.675997,undirected
3,616,0.634369,undirected
3,687,0.83299,undirected
3,826,0.714222,undirected
3,915,0.939128,undirected
3,1031,0.890867,undirected
3,1054,0.918048,undirected
3,1735,0.675591,undirected
3,1868,0.92916,undirected
3,2046,0.87287,undirected
3,2088,0.92388,undirected
4,120,0.602787,undirected
4,181,0.535754,undirected
