id,label,DE,PY,SO,TC
0,Using Accountability to Reduce Access Policy Violations in Information Systems,access policy violations; accountability; accountability theory; awareness; evaluation; factorial survey method; identifiability; information security; monitoring; social presence,2013,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,18
1,BEYOND DETERRENCE: AN EXPANDED VIEW OF EMPLOYEE COMPUTER ABUSE,Computer abuse; employee computer crime; information systems security; deterrence; neutralization; motivation; disgruntlement; organizational justice; instrumental crimes; expressive crimes; insider,2013,MIS QUARTERLY,37
2,BRIDGING THE QUALITATIVE-QUANTITATIVE DIVIDE: GUIDELINES FOR CONDUCTING MIXED METHODS RESEARCH IN INFORMATION SYSTEMS,Meta-inferences; mixed methods; multimethod; positivist; qualitative; quantitative; research method; research design; validity,2013,MIS QUARTERLY,79
3,IMPACT OF INFORMATION FEEDBACK IN CONTINUOUS COMBINATORIAL AUCTIONS: AN EXPERIMENTAL STUDY OF ECONOMIC PERFORMANCE,Online auctions; continuous combinatorial auctions; experimental economics; information feedback,2013,MIS QUARTERLY,8
4,IT-MEDIATED CUSTOMER SERVICE CONTENT AND DELIVERY IN ELECTRONIC GOVERNMENTS: AN EMPIRICAL INVESTIGATION OF THE ANTECEDENTS OF SERVICE QUALITY,Electronic government service quality; IT-mediated service content functions; IT-mediated service delivery dimensions; service content quality; service delivery quality,2013,MIS QUARTERLY,17
5,DIGITAL GAMES AND BEYOND: WHAT HAPPENS WHEN PLAYERS COMPETE?,Digital games; intrinsic motivation; experimental study; tournament theory,2013,MIS QUARTERLY,14
6,DATA MODEL DEVELOPMENT FOR FIRE RELATED EXTREME EVENTS: AN ACTIVITY THEORY APPROACH,Data model; extreme events; design science; activity theory,2013,MIS QUARTERLY,11
7,EXAMINING THE RELATIONAL BENEFITS OF IMPROVED INTERFIRM INFORMATION PROCESSING CAPABILITY IN BUYER-SUPPLIER DYADS,IT-enabled planning and control; normative contracts; information processing view; resource-based view; transaction cost theory,2013,MIS QUARTERLY,19
8,INTERNATIONALIZATION STRATEGIES OF CHINESE IT SERVICE SUPPLIERS,IT outsourcing; supplier's perspective; internationalization; strategy process; China,2013,MIS QUARTERLY,7
9,A RHETORICAL APPROACH TO IT DIFFUSION: RECONCEPTUALIZING THE IDEOLOGY-FRAMING RELATIONSHIP IN COMPUTERIZATION MOVEMENTS,Computerization movements; diffusion; IT innovation; discourse; open source; free software; ideology; rhetoric,2013,MIS QUARTERLY,12
10,THE EMBEDDEDNESS OF INFORMATION SYSTEMS HABITS IN ORGANIZATIONAL AND INDIVIDUAL LEVEL ROUTINES: DEVELOPMENT AND DISRUPTION,IS habit; automaticity; organizational routines; cognitive scripts; environmental triggers; context change; habit disruption; incumbent system,2013,MIS QUARTERLY,11
11,THE AFFECTIVE RESPONSE MODEL: A THEORETICAL FRAMEWORK OF AFFECTIVE CONCEPTS AND THEIR RELATIONSHIPS IN THE ICT CONTEXT,Affect; emotion; mood; affective response; affective evaluation; affective quality; individual reactions toward ICT; theory; affective response model; ARM,2013,MIS QUARTERLY,28
12,INTERNET PRIVACY CONCERNS: AN INTEGRATED CONCEPTUALIZATION AND FOUR EMPIRICAL STUDIES,Internet privacy concerns; information privacy concerns; online privacy; multidimensional development theory; higher-order factors; confirmatory factor analysis; LISREL; nomological validity,2013,MIS QUARTERLY,27
13,SOCIAL INFLUENCE AND KNOWLEDGE MANAGEMENT SYSTEMS USE: EVIDENCE FROM PANEL DATA,Information technology diffusion; social influence; knowledge management; knowledge management systems; longitudinal research,2013,MIS QUARTERLY,9
14,INFORMATION TECHNOLOGY OUTSOURCING AND NON-IT OPERATING COSTS: AN EMPIRICAL INVESTIGATION,IT outsourcing; information technology; IT expenditures; IT impacts; IT services; IT labor; IT human capital; non-IT operating costs; business value of IT; IT governance,2013,MIS QUARTERLY,16
15,When Social Media Can Be Bad for You: Community Feedback Stifles Consumer Creativity and Reduces Satisfaction with Self-Designed Products,mass customization systems; user self-design; product configurators; consumer decision making; social influence; field study; experiment,2013,INFORMATION SYSTEMS RESEARCH,15
16,Social Network Effects on Productivity and Job Security: Evidence from the Adoption of a Social Networking Tool,social media; social network; productivity; job security; information diversity; social communication; knowledge management,2013,INFORMATION SYSTEMS RESEARCH,27
17,Active Social Media Management: The Case of Health Care,business value of IT; computer-mediated communication and collaboration; social media,2013,INFORMATION SYSTEMS RESEARCH,17
18,Social Ties and User Content Generation: Evidence from Flickr,user-generated content; social networks; computer-mediated communication and collaboration; within-subjects design; photography; distinctiveness; tags; Flickr,2013,INFORMATION SYSTEMS RESEARCH,12
19,Social Media Brand Community and Consumer Behavior: Quantifying the Relative Impact of User- and Marketer-Generated Content,social media; brand community; consumer behavior; user-generated content; marketer-generated content; communication mode; text mining; econometric modeling,2013,INFORMATION SYSTEMS RESEARCH,59
20,The Effect of Customers' Social Media Participation on Customer Visit Frequency and Profitability: An Empirical Investigation,social media marketing; social media participation; customer-firm relationship; shopping visit; frequency; customer profitability; propensity score matching; quasi-experiment; difference-in-differences,2013,INFORMATION SYSTEMS RESEARCH,35
21,Predicting Adoption Probabilities in Social Networks,adoption probability; social network; Bayesian learning; social influence; structural equivalence; entity similarity; confounding factor,2013,INFORMATION SYSTEMS RESEARCH,19
22,Social Media and Firm Equity Value,social media; word of mouth; online reviews; Web blogs; vector autoregression; firm equity value; stock market performance,2013,INFORMATION SYSTEMS RESEARCH,34
23,Engineering Optimal Network Effects via Social Media Features and Seeding in Markets for Digital Goods and Services,social commerce and social media; network effects; social interaction; seeding; adoption process; digital goods and services,2013,INFORMATION SYSTEMS RESEARCH,15
24,The Effects of Rewarding User Engagement: The Case of Facebook Apps,app markets; social media; platform management; Facebook,2013,INFORMATION SYSTEMS RESEARCH,11
25,Everybody Needs Somebody: The Influence of Team Network Structure on Information Technology Use,advice-seeking network; external bridging; integration perspective; internal closure; social categorization theory; technology use,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,4
26,Toward an Integrated Model of Group Development: Disruption of Routines by Technology-Induced Change,case study; collaboration technology; field experiment; group development models; mixed methods; routines,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2
27,Corporate Wikis: The Effects of Owners' Motivation and Behavior on Group Members' Engagement,knowledge management (KM); knowledge management systems (KMS); knowledge sharing; motivation; owner; regulatory focus theory; social cognitive theory; wiki,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,12
28,Information Security Outsourcing with System Interdependency and Mandatory Security Requirement,information security; information security outsourcing; interdependency risks; mandatory security requirement; security compliance,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,5
29,Organizations' Information Security Policy Compliance: Stick or Carrot Approach?,coercive control; compliance theory; general deterrence theory; information security policy; punishment; remunerative control; reward,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,7
30,Competitive Target Advertising and Consumer Data Sharing,advertising; all-pay auction; common-value auction; information asymmetry; information sharing; target marketing,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,0
31,Alternate Strategies for a Win-Win Seeking Agent in Agent-Human Negotiations,agent-human negotiation; delayed acceptance; design science; electronic markets; negotiation agent; simultaneous-equivalent offers; win-win negotiation,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,4
32,Inducing Intrinsic Motivation to Explore the Enterprise System: The Supremacy of Organizational Levers,enterprise system; exploration usage; intrinsic motivation; organizational levers,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,7
33,Understanding Postadoptive Behaviors in Information Systems Use: A Longitudinal Analysis of System Use Problems in the Business Intelligence Context,business intelligence; IS use; postadoptive behavior; revealed causal mapping; social network analysis; system use problem,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,5
34,Investigating the Value of Sociomaterialism in Conceptualizing IT Capability of a Firm,imbrication metaphor; IT capability; sociomaterialism; sociomateriality; third-order factor,2012,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,3
35,Generalizability of Information Systems Research Using Student Subjects-A Reflection on Our Practices and Recommendations for Future Research,external validity; student samples; review process,2012,INFORMATION SYSTEMS RESEARCH,47
36,Advancing Public Trust Relationships in Electronic Government: The Singapore E-Filing Journey,e-government; public trust; calculative-based trust; prediction-based trust; intentionality-based trust; capability-based trust; transference-based trust,2012,INFORMATION SYSTEMS RESEARCH,9
37,Adoption and Impacts of Interorganizational Business Process Standards: Role of Partnering Synergy,interorganizational relationships; business process; process standards; process compatibility; standards uncertainty; cycle time; relationship quality; partnering synergy; synergistic effects,2012,INFORMATION SYSTEMS RESEARCH,18
38,"Corporate IT Standardization: Product Compatibility, Exclusive Purchase Commitment, and Competition Effects",corporate IT standardization; product compatibility; network effects; exclusive purchase commitment; competition effects,2012,INFORMATION SYSTEMS RESEARCH,2
39,Synergy and Its Limits in Managing Information Technology Professionals,synergy; configurations; information technology professionals; management of IT resources; human resource practices; staffing; strategic human resource management,2012,INFORMATION SYSTEMS RESEARCH,2
40,User Satisfaction with Information Technology Service Delivery: A Social Capital Perspective,IT service; social capital; service quality; user satisfaction; survey,2012,INFORMATION SYSTEMS RESEARCH,17
41,Ushering Buyers into Electronic Channels: An Empirical Analysis,electronic markets; channel choice; buyer heterogeneity,2012,INFORMATION SYSTEMS RESEARCH,3
