source,target,weight,type
0,398,0.733524355301,undirected
0,853,0.98376313276,undirected
0,1178,0.331423113658,undirected
1,29,0.321872015282,undirected
1,239,0.0157593123209,undirected
1,398,0.41929321872,undirected
1,400,0.596466093601,undirected
1,404,0.272206303725,undirected
1,862,0.699617956065,undirected
1,872,0.81852913085,undirected
1,898,0.542024832856,undirected
1,899,0.372492836676,undirected
1,980,0.755014326648,undirected
1,1094,0.658548233047,undirected
2,1124,0.425023877746,undirected
3,85,0.155205348615,undirected
3,162,0.835721107927,undirected
3,298,0.567812798472,undirected
3,466,0.641356255969,undirected
3,543,0.664278892073,undirected
3,766,0.977077363897,undirected
3,1152,0.217287488061,undirected
3,1194,0.272206303725,undirected
4,36,0.127029608405,undirected
4,200,0.0319961795606,undirected
4,482,0.182425978988,undirected
4,619,0.851480420248,undirected
4,797,0.929799426934,undirected
4,1120,0.676217765043,undirected
6,60,0.0821394460363,undirected
6,148,0.310888252149,undirected
6,351,0.457497612225,undirected
6,710,0.596466093601,undirected
7,385,0.425023877746,undirected
7,691,0.606017191977,undirected
7,750,0.372492836676,undirected
8,637,0.496657115568,undirected
9,395,0.0319961795606,undirected
9,453,0.0945558739255,undirected
9,483,0.293218720153,undirected
10,183,0.872015281757,undirected
10,190,0.723973256925,undirected
10,504,0.87488061127,undirected
10,508,0.667621776504,undirected
10,609,0.106972301815,undirected
10,685,0.81852913085,undirected
10,998,0.264565425024,undirected
11,230,0.542024832856,undirected
11,276,0.33858643744,undirected
11,368,0.720630372493,undirected
12,48,0.936962750716,undirected
12,227,0.679560649475,undirected
12,228,0.865807067813,undirected
12,229,0.885386819484,undirected
12,286,0.0472779369628,undirected
12,307,0.41929321872,undirected
12,475,0.321872015282,undirected
12,537,0.581184336199,undirected
12,610,0.844794651385,undirected
12,696,0.464183381089,undirected
12,754,0.19340974212,undirected
13,420,0.509073543457,undirected
14,192,0.513849092646,undirected
14,216,0.652340019102,undirected
14,340,0.35100286533,undirected
14,794,0.41929321872,undirected
14,916,0.293218720153,undirected
14,1004,0.155205348615,undirected
16,25,0.167144221585,undirected
16,86,0.87488061127,undirected
16,591,0.0472779369628,undirected
16,1111,0.228748806113,undirected
17,19,0.633715377268,undirected
17,23,0.652340019102,undirected
17,302,0.264565425024,undirected
17,592,0.209169054441,undirected
17,843,0.596466093601,undirected
18,21,0.284145176695,undirected
18,24,0.217287488061,undirected
18,860,0.0692454632283,undirected
18,951,0.556829035339,undirected
18,996,0.106972301815,undirected
18,1031,0.284145176695,undirected
19,22,0.694364851958,undirected
19,93,0.363896848138,undirected
19,176,0.581184336199,undirected
19,233,0.41929321872,undirected
19,302,0.243553008596,undirected
19,592,0.0319961795606,undirected
19,822,0.738777459408,undirected
19,833,0.503342884432,undirected
19,843,0.759789875836,undirected
19,863,0.331423113658,undirected
19,1031,0.321872015282,undirected
19,1046,0.478032473734,undirected
19,1071,0.618433619866,undirected
19,1084,0.264565425024,undirected
19,1138,0.407831900669,undirected
19,1144,0.667621776504,undirected
19,1181,0.209169054441,undirected
19,1182,0.464183381089,undirected
21,167,0.243553008596,undirected
21,951,0.533428844317,undirected
21,1135,0.733524355301,undirected
22,176,0.581184336199,undirected
22,302,0.243553008596,undirected
22,822,0.438395415473,undirected
22,833,0.284145176695,undirected
22,843,0.759789875836,undirected
22,1046,0.856733524355,undirected
22,1071,0.35100286533,undirected
22,1136,0.952244508118,undirected
22,1138,0.0692454632283,undirected
22,1144,0.774594078319,undirected
23,47,0.209169054441,undirected
23,302,0.264565425024,undirected
23,843,0.596466093601,undirected
25,538,0.725405921681,undirected
26,461,0.363896848138,undirected
26,541,0.35100286533,undirected
26,1025,0.425023877746,undirected
27,304,0.209169054441,undirected
27,1164,0.0157593123209,undirected
28,66,0.863896848138,undirected
28,478,0.933142311366,undirected
28,498,0.925501432665,undirected
28,607,0.293218720153,undirected
28,997,0.712034383954,undirected
28,1177,0.936962750716,undirected
28,1189,0.641356255969,undirected
29,239,0.664278892073,undirected
29,400,0.1370582617,undirected
29,862,0.0945558739255,undirected
29,1188,0.473734479465,undirected
30,286,0.808022922636,undirected
30,406,0.0157593123209,undirected
30,497,0.801337153773,undirected
30,677,0.904011461318,undirected
31,922,0.533428844317,undirected
32,117,0.0319961795606,undirected
32,869,0.0692454632283,undirected
32,933,0.618433619866,undirected
34,199,0.396370582617,undirected
34,431,0.217287488061,undirected
34,463,0.0472779369628,undirected
34,703,0.738777459408,undirected
34,1055,0.602196752627,undirected
35,103,0.457497612225,undirected
37,235,0.633715377268,undirected
37,695,0.953199617956,undirected
38,110,0.948424068768,undirected
38,171,0.87106017192,undirected
38,322,0.87106017192,undirected
38,668,0.892550143266,undirected
38,1052,0.284145176695,undirected
41,567,0.284145176695,undirected
43,655,0.310888252149,undirected
44,349,0.858166189112,undirected
44,780,0.883476599809,undirected
45,84,0.747851002865,undirected
45,96,0.895415472779,undirected
45,821,0.94364851958,undirected
45,824,0.747851002865,undirected
46,315,0.900191021968,undirected
46,864,0.999522445081,undirected
46,941,0.0692454632283,undirected
47,181,0.567812798472,undirected
47,477,0.386819484241,undirected
